CONTAINER ID   IMAGE                                      COMMAND                  CREATED          STATUS                     PORTS                                                                          NAMES
3d90cda61a5e   keinstien/atlas:3.2.18                     "/config/scripts/atl…"   41 seconds ago   Up 40 seconds                                                                                             atlas
13662f4dae2d   nginx:alpine                               "/docker-entrypoint.…"   42 seconds ago   Up 41 seconds              0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:443->443/tcp, [::]:443->443/tcp   nginx-proxy
fc0e40c6ab21   quay.io/oauth2-proxy/oauth2-proxy:v7.7.1   "/bin/oauth2-proxy -…"   42 seconds ago   Up 11 seconds              0.0.0.0:32816->4180/tcp, [::]:32816->4180/tcp                                  oauth2-proxy
35fda8752785   quay.io/keycloak/keycloak:24.0.4           "/opt/keycloak/bin/k…"   43 seconds ago   Up 42 seconds              8443/tcp, 0.0.0.0:32807->8080/tcp, [::]:32807->8080/tcp                        keycloak
d8bd4288e7fe   postgres:15                                "docker-entrypoint.s…"   43 seconds ago   Up 43 seconds              5432/tcp                                                                       keycloak_db
7a647c192bec   mongo:latest                               "docker-entrypoint.s…"   44 seconds ago   Up 43 seconds              0.0.0.0:27017->27017/tcp, [::]:27017->27017/tcp                                tyk-mongo
b4fd76430778   tykio/tyk-pump-docker-pub:v1.9.0           "/opt/tyk-pump/tyk-p…"   44 seconds ago   Up 43 seconds              80/tcp                                                                         tyk-pump
8df464b4c350   tykio/tyk-gateway:v5.3.9                   "/opt/tyk-gateway/ty…"   44 seconds ago   Up 43 seconds              0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp                                    tyk-gateway
a9b53c5b2246   redis                                      "docker-entrypoint.s…"   44 seconds ago   Up 43 seconds              0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp                                    tyk-redis
c4b8538c7249   tykio/tyk-dashboard:v5.3.9                 "/opt/tyk-dashboard/…"   44 seconds ago   Up 43 seconds              0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                    tyk-dashboard
4bc1a0dc52e8   joxit/docker-registry-ui:latest            "/docker-entrypoint.…"   3 weeks ago      Exited (255) 3 weeks ago   0.0.0.0:8081->80/tcp, [::]:8081->80/tcp                                        registry1-ui
a22a7f678040   joxit/docker-registry-ui:latest            "/docker-entrypoint.…"   3 weeks ago      Exited (255) 3 weeks ago   0.0.0.0:8082->80/tcp, [::]:8082->80/tcp                                        registry2-ui
44827f328eae   registry:3                                 "/entrypoint.sh /etc…"   3 weeks ago      Up 2 hours                 0.0.0.0:6000->5000/tcp, [::]:6000->5000/tcp                                    registry1
961405b562bb   registry:3                                 "/entrypoint.sh /etc…"   3 weeks ago      Up 2 hours                 0.0.0.0:6001->5000/tcp, [::]:6001->5000/tcp                                    registry2
c01eee48cfc8   quay.io/minio/minio:latest                 "/usr/bin/docker-ent…"   3 weeks ago      Exited (255) 3 weeks ago   0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp                minio
